model,epoch,train_loss,train_accuracy,val_loss,val_accuracy
V3_LargerKernel,1,0.5528138410846393,0.7975,0.35107810656229654,0.8726666666666667
V3_LargerKernel,2,0.35014221000671386,0.8738125,0.30608377782503765,0.882
V3_LargerKernel,3,0.2973065463801225,0.8925208333333333,0.2661383873621623,0.8999166666666667
V3_LargerKernel,4,0.264015224908789,0.9049583333333333,0.28135482609272006,0.89475
V3_LargerKernel,5,0.23918954397241274,0.9115833333333333,0.23586652354399362,0.9118333333333334
V3_LargerKernel,6,0.2156370955556631,0.9206458333333334,0.2328843741019567,0.9131666666666667
V3_LargerKernel,7,0.20035024291773637,0.9262083333333333,0.23254471484820047,0.9144166666666667
V3_LargerKernel,8,0.18632400210698447,0.93075,0.23183182517687478,0.91675
V3_LargerKernel,9,0.17082999132573604,0.9355416666666667,0.22600902783870697,0.9195
V3_LargerKernel,10,0.15570037214209637,0.9414583333333333,0.22675943398475648,0.9186666666666666
V3_LargerKernel,11,0.14219223691771427,0.946375,0.23068401914834977,0.9186666666666666
V3_LargerKernel,12,0.13053550068537395,0.9504583333333333,0.2398488938609759,0.9209166666666667
V3_LargerKernel,13,0.12145794346307714,0.9535625,0.23510692087809246,0.9225833333333333
V3_LargerKernel,14,0.11032333562026421,0.9568333333333333,0.2542545112768809,0.9228333333333333
V3_LargerKernel,15,0.10157292128105959,0.9601875,0.2587084025343259,0.92075
V3_LargerKernel,16,0.09531202297843992,0.9633125,0.2810263918439547,0.9204166666666667
V3_LargerKernel,17,0.09061023162677884,0.9641666666666666,0.29364446689685186,0.9213333333333333
V3_LargerKernel,18,0.08492330997561415,0.9661875,0.2893367120424906,0.9205
V3_LargerKernel,19,0.08042158583241205,0.9683541666666666,0.30419506279627484,0.9220833333333334
V3_LargerKernel,20,0.07281532730658849,0.9716458333333333,0.31682777003447216,0.9236666666666666
V3_LargerKernel,21,0.07145023018183808,0.9714791666666667,0.328435404419899,0.9176666666666666
V3_LargerKernel,22,0.0670711218820264,0.9733333333333334,0.3290807230472565,0.9236666666666666
V3_LargerKernel,23,0.063733571403039,0.9748958333333333,0.35747782337665557,0.9189166666666667
V3_LargerKernel,24,0.06262818759633228,0.9753333333333334,0.35415198026100797,0.9209166666666667
V3_LargerKernel,25,0.05933206831268035,0.9765208333333333,0.3648608853916327,0.9234166666666667
V3_LargerKernel,26,0.055069930475205184,0.9784791666666667,0.37750476360321045,0.9228333333333333
V3_LargerKernel,27,0.05512049595204493,0.9790208333333333,0.4015962540705999,0.918
V3_LargerKernel,28,0.050628987816395236,0.9804375,0.4244437408546607,0.92
V3_LargerKernel,29,0.05185044432307283,0.9804375,0.421558865527312,0.9208333333333333
V3_LargerKernel,30,0.04755215762811713,0.9812916666666667,0.42997366136312487,0.9229166666666667
V3_LargerKernel,31,0.047880965782057805,0.982125,0.42967013889551164,0.9208333333333333
V3_LargerKernel,32,0.04466313656551453,0.9828333333333333,0.4191919226149718,0.9236666666666666
V3_LargerKernel,33,0.047713597675785424,0.9818125,0.42343201231956484,0.9181666666666667
V3_LargerKernel,34,0.0441053397327972,0.9830208333333333,0.43424992940823237,0.922
V3_LargerKernel,35,0.041001641432909915,0.9840625,0.4897277667125066,0.9224166666666667
V3_LargerKernel,36,0.04177107221462453,0.9840208333333333,0.4569438108255466,0.9243333333333333
V3_LargerKernel,37,0.04054461191905041,0.9845,0.4739873426457246,0.9204166666666667
V3_LargerKernel,38,0.04209972496897293,0.9840208333333333,0.4523019235432148,0.9240833333333334
V3_LargerKernel,39,0.03893096584780142,0.98575,0.47573075925310454,0.9203333333333333
V3_LargerKernel,40,0.04015750774368644,0.9848333333333333,0.49541264859835304,0.9229166666666667
V3_LargerKernel,41,0.03874850342337353,0.9852916666666667,0.5287612989693881,0.9235
V3_LargerKernel,42,0.03568140900127279,0.9858333333333333,0.4691332177122434,0.9240833333333334
V3_LargerKernel,43,0.03728911187889753,0.9856458333333333,0.4872077235182126,0.9204166666666667
V3_LargerKernel,44,0.03833046772315477,0.985625,0.49734494787454603,0.9214166666666667
V3_LargerKernel,45,0.03572170722804731,0.9869166666666667,0.5038455012043317,0.92175
V3_LargerKernel,46,0.03234544198945514,0.9871875,0.5346627061714728,0.9245
V3_LargerKernel,47,0.034762610806773106,0.9866875,0.5140824989477794,0.92225
V3_LargerKernel,48,0.03860436663660221,0.9856041666666666,0.5055598993400733,0.92425
V3_LargerKernel,49,0.033023676391652164,0.9875,0.5061770523736874,0.9234166666666667
V3_LargerKernel,50,0.03232292132291089,0.988,0.5650551165044307,0.9209166666666667
