model,epoch,train_loss,train_accuracy,val_loss,val_accuracy
V2_BatchNorm,1,0.449273326476415,0.8371458333333334,0.3135102260907491,0.8850833333333333
V2_BatchNorm,2,0.3138650642136733,0.8863541666666667,0.285072661836942,0.8945
V2_BatchNorm,3,0.26743917776147524,0.9025208333333333,0.24910356084505716,0.9085833333333333
V2_BatchNorm,4,0.24112959090868633,0.9110208333333333,0.26736007098356884,0.9020833333333333
V2_BatchNorm,5,0.22238417773445449,0.9174166666666667,0.24110491468509038,0.9111666666666667
V2_BatchNorm,6,0.19914767733216285,0.9266041666666667,0.22484459658463796,0.9190833333333334
V2_BatchNorm,7,0.1829392599314451,0.9324375,0.22259625099102656,0.9204166666666667
V2_BatchNorm,8,0.1676296741217375,0.9374166666666667,0.2149567558368047,0.9244166666666667
V2_BatchNorm,9,0.15442473680029312,0.9423958333333333,0.23116798293590546,0.91925
V2_BatchNorm,10,0.14222918394207953,0.9466666666666667,0.24108665923277536,0.9206666666666666
V2_BatchNorm,11,0.12954813324908415,0.951,0.24550495612621306,0.9208333333333333
V2_BatchNorm,12,0.1197367576037844,0.9558125,0.23315630189577738,0.9253333333333333
V2_BatchNorm,13,0.10885598716636499,0.9585625,0.25728248204787574,0.9225
V2_BatchNorm,14,0.1016085185110569,0.9618125,0.2543833447098732,0.924
V2_BatchNorm,15,0.09367073749129971,0.9647708333333334,0.2475410859187444,0.9220833333333334
V2_BatchNorm,16,0.08734501015394926,0.9661875,0.26334188040097556,0.9231666666666667
V2_BatchNorm,17,0.07957378325363,0.9698541666666667,0.27010578274726865,0.9260833333333334
V2_BatchNorm,18,0.07542141266042987,0.9711041666666667,0.29531407614549,0.9235833333333333
V2_BatchNorm,19,0.06959363451041281,0.973625,0.2996249651710192,0.91975
V2_BatchNorm,20,0.0704291822562615,0.9731875,0.3011820680101713,0.9234166666666667
V2_BatchNorm,21,0.06082535989706715,0.9767708333333334,0.3180716577768326,0.9186666666666666
V2_BatchNorm,22,0.060004373240905504,0.9774375,0.30938379156589507,0.9170833333333334
V2_BatchNorm,23,0.05887551883483926,0.9769791666666666,0.34944035196304324,0.9185
V2_BatchNorm,24,0.05655060717401405,0.9784791666666667,0.3460382400453091,0.9215833333333333
V2_BatchNorm,25,0.05393741371234258,0.9801875,0.3306309898694356,0.9229166666666667
V2_BatchNorm,26,0.05411518208713581,0.9799583333333334,0.37480913414557776,0.9215833333333333
V2_BatchNorm,27,0.0489975400242644,0.98125,0.35090864302714664,0.9238333333333333
V2_BatchNorm,28,0.04443212769568587,0.9826666666666667,0.3767004629770915,0.9208333333333333
V2_BatchNorm,29,0.04756624198534216,0.9822708333333333,0.36300628862778345,0.9230833333333334
V2_BatchNorm,30,0.042710796154104176,0.9842708333333333,0.4116109927694003,0.9210833333333334
V2_BatchNorm,31,0.04407326388203849,0.982875,0.4078467741012573,0.9205
V2_BatchNorm,32,0.04180208235575507,0.9841041666666667,0.3750830602745215,0.9208333333333333
V2_BatchNorm,33,0.04106576502377478,0.9842291666666667,0.39587174846728646,0.9185
V2_BatchNorm,34,0.037357977075347056,0.9861666666666666,0.404246169368426,0.92375
V2_BatchNorm,35,0.03682543092826381,0.9865833333333334,0.4349696517388026,0.9218333333333333
V2_BatchNorm,36,0.03759415582016421,0.9852708333333333,0.440955296655496,0.9241666666666667
V2_BatchNorm,37,0.03507415407092776,0.9871666666666666,0.3963994935353597,0.9230833333333334
V2_BatchNorm,38,0.034535075338790196,0.987,0.42944356203079226,0.9206666666666666
V2_BatchNorm,39,0.03772892544333202,0.9854375,0.4493886651198069,0.921
V2_BatchNorm,40,0.03358769426133949,0.9872083333333334,0.4395586531758308,0.9223333333333333
V2_BatchNorm,41,0.03324325175952011,0.9878958333333333,0.43521016158660253,0.9208333333333333
V2_BatchNorm,42,0.0325949524245807,0.9872708333333333,0.4539126039346059,0.9184166666666667
V2_BatchNorm,43,0.034766884500587666,0.9872708333333333,0.4346509386698405,0.9205833333333333
V2_BatchNorm,44,0.03159018298060012,0.9875625,0.4601704687724511,0.9230833333333334
V2_BatchNorm,45,0.032063588069945886,0.9877083333333333,0.4415698473850886,0.9221666666666667
V2_BatchNorm,46,0.03072738865004309,0.9882708333333333,0.45665254908800124,0.92025
V2_BatchNorm,47,0.029232463662085744,0.9890208333333333,0.4962914676268895,0.9166666666666666
V2_BatchNorm,48,0.03044095047637044,0.9890833333333333,0.49886107867956164,0.9205
V2_BatchNorm,49,0.029605847193238635,0.9889375,0.5060785673459371,0.9191666666666667
V2_BatchNorm,50,0.027185903916775715,0.990125,0.49885674168666205,0.9229166666666667
