model,epoch,train_loss,train_accuracy,val_loss,val_accuracy
V7_Deeper,1,0.4670390699505806,0.8325,0.3364101621309916,0.8730833333333333
V7_Deeper,2,0.3093485635022322,0.8897708333333333,0.27747571778297425,0.89525
V7_Deeper,3,0.26809162558118504,0.90275,0.2714394917488098,0.8981666666666667
V7_Deeper,4,0.23902685143053531,0.9130625,0.24131071070830026,0.9125833333333333
V7_Deeper,5,0.221262015491724,0.92,0.24713374332586924,0.9111666666666667
V7_Deeper,6,0.20302708526452382,0.9246666666666666,0.2329218697945277,0.9155
V7_Deeper,7,0.18794796102742353,0.9300416666666667,0.24978900345166524,0.91
V7_Deeper,8,0.17005769065519175,0.9363333333333334,0.25633294800917306,0.9100833333333334
V7_Deeper,9,0.15800431306908527,0.9404166666666667,0.25367992492516833,0.9123333333333333
V7_Deeper,10,0.1473329326286912,0.9435416666666666,0.24910266212622326,0.9184166666666667
V7_Deeper,11,0.13862875845655798,0.94775,0.2639116089542707,0.9165833333333333
V7_Deeper,12,0.12947930628806353,0.9502083333333333,0.26868325368563334,0.91025
V7_Deeper,13,0.12135798035562038,0.9538333333333333,0.2535691875219345,0.9190833333333334
V7_Deeper,14,0.11349497974788149,0.9564791666666667,0.31191368607680003,0.907
V7_Deeper,15,0.10524125724534193,0.9592083333333333,0.29971146233876544,0.9089166666666667
V7_Deeper,16,0.09480055425067743,0.9637708333333334,0.2984365721940994,0.9109166666666667
V7_Deeper,17,0.09149292814917863,0.96525,0.2856433070500692,0.91675
V7_Deeper,18,0.08743234475826224,0.9665833333333333,0.31056082431475324,0.9135
V7_Deeper,19,0.08257677864655852,0.9672291666666667,0.34515655183792116,0.9079166666666667
V7_Deeper,20,0.08133323019494614,0.9696875,0.3219405556718508,0.9146666666666666
V7_Deeper,21,0.0758644447500507,0.97075,0.3466140892505646,0.9145833333333333
V7_Deeper,22,0.06899189180756608,0.9742708333333333,0.34628576529026034,0.9136666666666666
V7_Deeper,23,0.06616568595916032,0.9744583333333333,0.3464307683308919,0.91675
V7_Deeper,24,0.06581880927179008,0.9747708333333334,0.3664601312478383,0.9139166666666667
V7_Deeper,25,0.059197417790691056,0.9771666666666666,0.41159024108449616,0.9115
V7_Deeper,26,0.05974669135330866,0.9775208333333333,0.3751964695652326,0.9120833333333334
V7_Deeper,27,0.05494388582246999,0.979375,0.4208826151291529,0.9085
V7_Deeper,28,0.05557698401063681,0.9779375,0.39889582311113675,0.9125833333333333
V7_Deeper,29,0.055905701819807294,0.9791041666666667,0.39491347162922225,0.9144166666666667
V7_Deeper,30,0.050944319165466975,0.9810416666666667,0.4463472981651624,0.9125
V7_Deeper,31,0.05074849613041928,0.9809791666666666,0.4310384492675463,0.9123333333333333
V7_Deeper,32,0.046379183652888366,0.9830208333333333,0.43476818295319875,0.9095
V7_Deeper,33,0.04493504068131248,0.9830208333333333,0.4740234239498774,0.9133333333333333
V7_Deeper,34,0.04648292409166849,0.9822708333333333,0.43138773655891416,0.9143333333333333
V7_Deeper,35,0.043515012407364946,0.9840208333333333,0.5177622177104155,0.9094166666666667
V7_Deeper,36,0.043107964899701375,0.9840416666666667,0.46777943675716716,0.9148333333333334
V7_Deeper,37,0.04081673802970909,0.9846041666666666,0.466511933028698,0.9131666666666667
V7_Deeper,38,0.037296498410539544,0.985875,0.4514829018910726,0.9131666666666667
V7_Deeper,39,0.040724115007945025,0.9840833333333333,0.4840552985668182,0.914
V7_Deeper,40,0.03812612458691001,0.9858125,0.47258792813618977,0.9145833333333333
V7_Deeper,41,0.038092431277269495,0.9856875,0.49163472231229144,0.9119166666666667
V7_Deeper,42,0.03697673602045203,0.9864375,0.5212071982522806,0.9099166666666667
V7_Deeper,43,0.037660218162462115,0.9863125,0.49236542149384815,0.90575
V7_Deeper,44,0.037024983275895165,0.9863125,0.5119216479857762,0.9128333333333334
V7_Deeper,45,0.03446754576335661,0.9870833333333333,0.5025870670676231,0.9103333333333333
V7_Deeper,46,0.0327747337857727,0.9878125,0.5250974300702413,0.913
V7_Deeper,47,0.034074816375117126,0.9876041666666666,0.5528478705485662,0.9128333333333334
V7_Deeper,48,0.03369211393618025,0.9877291666666667,0.5542522605260213,0.9119166666666667
V7_Deeper,49,0.032556921044869035,0.9882708333333333,0.5270304309129715,0.9121666666666667
V7_Deeper,50,0.029006826875983584,0.9889791666666666,0.629252843260765,0.9073333333333333
