model,epoch,train_loss,train_accuracy,val_loss,val_accuracy
V6_NoDropout,1,0.4982309743563334,0.8164375,0.3575705707073212,0.871
V6_NoDropout,2,0.3146457633972168,0.8868958333333333,0.3153645359277725,0.8835833333333334
V6_NoDropout,3,0.26935440492630003,0.9007916666666667,0.27078349204858143,0.9014166666666666
V6_NoDropout,4,0.23566175776720047,0.9143958333333333,0.2594052256345749,0.9055
V6_NoDropout,5,0.21024726229906082,0.9229791666666667,0.2438535165389379,0.9105833333333333
V6_NoDropout,6,0.18857171341280143,0.9297083333333334,0.24172641829649608,0.9143333333333333
V6_NoDropout,7,0.16708169297625622,0.9383958333333333,0.2536366488933563,0.9081666666666667
V6_NoDropout,8,0.15023609546820324,0.9443333333333334,0.25720922875404356,0.9141666666666667
V6_NoDropout,9,0.13191069713731607,0.9506666666666667,0.24703047454357147,0.9144166666666667
V6_NoDropout,10,0.11322876989344756,0.9572916666666667,0.25381405707200366,0.9196666666666666
V6_NoDropout,11,0.09972539501264692,0.9629375,0.24887721000115076,0.9180833333333334
V6_NoDropout,12,0.08648124175270398,0.9678541666666667,0.2677632078528404,0.9193333333333333
V6_NoDropout,13,0.07421737600614627,0.9722083333333333,0.27372512393196424,0.9195
V6_NoDropout,14,0.06423899698195358,0.9766666666666667,0.3232319201827049,0.9136666666666666
V6_NoDropout,15,0.055198003157352404,0.9804375,0.3121340780158838,0.9189166666666667
V6_NoDropout,16,0.048254232351047296,0.9829375,0.3556051863729954,0.9160833333333334
V6_NoDropout,17,0.03974755183296899,0.985625,0.342952171087265,0.91975
V6_NoDropout,18,0.03806329750145475,0.9861041666666667,0.3662764032880465,0.9179166666666667
V6_NoDropout,19,0.03289638204872608,0.9880208333333333,0.3832279816468557,0.9198333333333333
V6_NoDropout,20,0.0299750073569982,0.9892916666666667,0.4098207427958647,0.9128333333333334
V6_NoDropout,21,0.025525785866426304,0.9905625,0.4470977499534686,0.91725
V6_NoDropout,22,0.02195472426532069,0.9927291666666667,0.45088425765434903,0.9134166666666667
V6_NoDropout,23,0.02360459433045859,0.991625,0.46215441900491716,0.917
V6_NoDropout,24,0.022484374560619472,0.9921875,0.47754644179344174,0.915
V6_NoDropout,25,0.01707359963687486,0.9942291666666667,0.497020358423392,0.9181666666666667
V6_NoDropout,26,0.01956733346792559,0.9933125,0.5103679016629855,0.9140833333333334
V6_NoDropout,27,0.023886730733346972,0.9911875,0.6498670786221822,0.9038333333333334
V6_NoDropout,28,0.013497282849973999,0.9954375,0.5577551663517952,0.9185833333333333
V6_NoDropout,29,0.017797821563110727,0.9935416666666667,0.5492799703776836,0.9143333333333333
V6_NoDropout,30,0.012425803242057252,0.9957083333333333,0.5490731896956762,0.9149166666666667
V6_NoDropout,31,0.018965441807139237,0.9931041666666667,0.5834570501248042,0.9163333333333333
V6_NoDropout,32,0.009501211787113183,0.9972708333333333,0.5444755887736877,0.9189166666666667
V6_NoDropout,33,0.016132005062497533,0.9940833333333333,0.576861367781957,0.911
V6_NoDropout,34,0.018048963152017677,0.9936458333333333,0.5901519714593887,0.9118333333333334
V6_NoDropout,35,0.00998762681891094,0.9967291666666667,0.6553886387546857,0.9175
V6_NoDropout,36,0.012922236180311302,0.9954166666666666,0.590474622686704,0.9113333333333333
V6_NoDropout,37,0.01604392920620982,0.9946458333333333,0.6114431336720785,0.9188333333333333
V6_NoDropout,38,0.006141785993155888,0.9979166666666667,0.6296222346822421,0.9174166666666667
V6_NoDropout,39,0.016996815888972682,0.9938333333333333,0.6352209296822547,0.9164166666666667
V6_NoDropout,40,0.010881051198177677,0.9960833333333333,0.6226096423467,0.9156666666666666
V6_NoDropout,41,0.01429685259109101,0.9952708333333333,0.6243561749458313,0.9173333333333333
V6_NoDropout,42,0.009950684528756635,0.9964375,0.6660208386977514,0.9174166666666667
V6_NoDropout,43,0.013920971648885219,0.99525,0.6603451739648978,0.9175833333333333
V6_NoDropout,44,0.009994602408738501,0.9965833333333334,0.6666009081204732,0.9163333333333333
V6_NoDropout,45,0.008189543728225848,0.9973541666666667,0.702974082271258,0.912
V6_NoDropout,46,0.013745359842135561,0.99525,0.71717342933019,0.9151666666666667
V6_NoDropout,47,0.009651066596164128,0.996625,0.686392919699351,0.9183333333333333
V6_NoDropout,48,0.0044278280807975535,0.9986875,0.7192986352443695,0.9114166666666667
V6_NoDropout,49,0.015053026043635327,0.9949375,0.7130781777103742,0.9186666666666666
V6_NoDropout,50,0.0072899233579616215,0.9971875,0.7320756762623787,0.917
