model,epoch,train_loss,train_accuracy,val_loss,val_accuracy
V1_Baseline,1,0.5469087878664335,0.800875,0.3591500730117162,0.8671666666666666
V1_Baseline,2,0.3456356584231059,0.8757083333333333,0.2998281500339508,0.8896666666666667
V1_Baseline,3,0.2992107831041018,0.8930833333333333,0.2683917821248372,0.9034166666666666
V1_Baseline,4,0.2643409293393294,0.90425,0.2506807982524236,0.9094166666666667
V1_Baseline,5,0.2391462207486232,0.9111041666666667,0.24652684982617695,0.9063333333333333
V1_Baseline,6,0.22015252291659515,0.9182083333333333,0.23156531824668247,0.9171666666666667
V1_Baseline,7,0.20197946181396642,0.9264791666666666,0.2267373904188474,0.9176666666666666
V1_Baseline,8,0.1852241510003805,0.9328125,0.21556541879971822,0.9209166666666667
V1_Baseline,9,0.1712775387192766,0.9359375,0.2234468580285708,0.9203333333333333
V1_Baseline,10,0.1561881937806805,0.9417083333333334,0.2167620768547058,0.9231666666666667
V1_Baseline,11,0.14466019018491108,0.9462083333333333,0.23392092500130335,0.9205
V1_Baseline,12,0.13457522560904422,0.9492708333333333,0.23633949240048727,0.92225
V1_Baseline,13,0.1228422480225563,0.9531875,0.2467646989127,0.9201666666666667
V1_Baseline,14,0.11228338527182738,0.9581458333333334,0.22984492833415668,0.9231666666666667
V1_Baseline,15,0.10438528355707725,0.9609375,0.22939668934543928,0.9244166666666667
V1_Baseline,16,0.09778510692467292,0.9631666666666666,0.24073950707912445,0.9199166666666667
V1_Baseline,17,0.08930490218972166,0.966,0.25819938856363295,0.924
V1_Baseline,18,0.08323661970843871,0.968625,0.2568851316769918,0.9235
V1_Baseline,19,0.07893787359197935,0.9696041666666667,0.275830128510793,0.9265
V1_Baseline,20,0.07219474093616009,0.97225,0.28375883039832117,0.9229166666666667
V1_Baseline,21,0.0673128956935058,0.9738541666666667,0.31153841636578244,0.9203333333333333
V1_Baseline,22,0.06523958657030016,0.9747083333333333,0.30531975300361713,0.9269166666666667
V1_Baseline,23,0.06081228084489703,0.9761041666666667,0.312066207682093,0.92425
V1_Baseline,24,0.05774824569203581,0.97775,0.34698579358061155,0.9209166666666667
V1_Baseline,25,0.05551203824331363,0.9788541666666667,0.3349599460711082,0.9243333333333333
V1_Baseline,26,0.05609654679133867,0.9785416666666666,0.33137395507097245,0.92325
V1_Baseline,27,0.04960507592884824,0.9807916666666666,0.34101413389046986,0.9266666666666666
V1_Baseline,28,0.04989726954419166,0.9804791666666667,0.36273329217235245,0.9263333333333333
V1_Baseline,29,0.04764476738171652,0.9816875,0.3390460024078687,0.9251666666666667
V1_Baseline,30,0.04630784447491169,0.9824375,0.37645418622096377,0.9235
V1_Baseline,31,0.04524995643536871,0.9829375,0.37322509874900184,0.9243333333333333
V1_Baseline,32,0.044783292408954976,0.982625,0.4228446109394232,0.9224166666666667
V1_Baseline,33,0.0408661692882888,0.9836041666666666,0.38429658302664754,0.9260833333333334
V1_Baseline,34,0.04339336424080344,0.983375,0.3977943485577901,0.9245
V1_Baseline,35,0.03797054620056103,0.9855833333333334,0.39367048018674056,0.9218333333333333
V1_Baseline,36,0.038621937023398153,0.9846666666666667,0.40569536687930424,0.92375
V1_Baseline,37,0.03763274861740259,0.9853541666666666,0.44419879471262297,0.9196666666666666
V1_Baseline,38,0.03591683741352366,0.9864791666666667,0.44133089975516,0.9210833333333334
V1_Baseline,39,0.03890001162483046,0.9852083333333334,0.41439669944842655,0.924
V1_Baseline,40,0.03319041650610355,0.9870625,0.4729641354481379,0.9225
V1_Baseline,41,0.03454328789488257,0.986875,0.46066551890969276,0.9219166666666667
V1_Baseline,42,0.03572617684712168,0.9865416666666667,0.4841853429873784,0.9208333333333333
V1_Baseline,43,0.033431195517613865,0.9875416666666667,0.4684033825596174,0.9246666666666666
V1_Baseline,44,0.0328762586262504,0.9874375,0.4381243260403474,0.9251666666666667
V1_Baseline,45,0.03534786391677335,0.9868958333333333,0.4544838733077049,0.92175
V1_Baseline,46,0.03173674018106976,0.9877916666666666,0.4497087422013283,0.9240833333333334
V1_Baseline,47,0.033185840539090954,0.9879166666666667,0.49672797769804794,0.92025
V1_Baseline,48,0.02944856772274943,0.9883333333333333,0.48569222664336364,0.9245833333333333
V1_Baseline,49,0.028513414594403003,0.9891666666666666,0.555166337698698,0.9220833333333334
V1_Baseline,50,0.03081816820941943,0.9879375,0.5347670524319013,0.9200833333333334
