Model,Avg_Test_Loss,Avg_Test_Accuracy,Std_Accuracy
V1_Baseline,0.21138946983516216,0.925,0.002177154105707711
V2_BatchNorm,0.21028172006726265,0.9253599999999998,0.0031777979797337464
V3_LargerKernel,0.21561356137394902,0.9209799999999999,0.000870402205879568
V4_AvgPool,0.20486267140306533,0.9259000000000001,0.0020649455198624464
V5_GELU,0.21170402290046217,0.9241000000000001,0.001375499909123928
V6_NoDropout,0.22004476508200166,0.92164,0.0010518555033843687
V7_Deeper,0.22565274102509023,0.91896,0.0019865548066942515
