model,best_val_accuracy,best_val_epoch,best_val_loss,best_val_loss_epoch,final_train_loss,final_train_accuracy,final_val_loss,final_val_accuracy
V2_BatchNorm,0.9260833333333334,17,0.2149567558368047,8,0.027185903916775715,0.990125,0.49885674168666205,0.9229166666666667
V1_Baseline,0.9269166666666667,22,0.21556541879971822,8,0.03081816820941943,0.9879375,0.5347670524319013,0.9200833333333334
V3_LargerKernel,0.9245,46,0.22600902783870697,9,0.03232292132291089,0.988,0.5650551165044307,0.9209166666666667
V7_Deeper,0.9190833333333334,13,0.2329218697945277,6,0.029006826875983584,0.9889791666666666,0.629252843260765,0.9073333333333333
V5_GELU,0.9269166666666667,43,0.23305157494544984,6,0.017538688715033154,0.9935833333333334,0.5273690021286408,0.9199166666666667
V4_AvgPool,0.9263333333333333,50,0.2355357706149419,16,0.05724079907406122,0.9772708333333333,0.37694635132948556,0.9263333333333333
V6_NoDropout,0.9198333333333333,19,0.24172641829649608,6,0.0072899233579616215,0.9971875,0.7320756762623787,0.917
