model,fold,epoch,train_loss,train_accuracy,val_loss,val_accuracy
transformer_v2,1,1,0.9884823233286539,0.6443125,0.6803873507181804,0.7376666666666667
transformer_v2,1,2,0.6891239728927613,0.747375,0.561708563486735,0.7929166666666667
transformer_v2,1,3,0.6059735479354859,0.778,0.4991936042308807,0.8175
transformer_v2,1,4,0.5614457209507624,0.796875,0.49180142545700073,0.8131666666666667
transformer_v2,1,5,0.529324146091938,0.8068958333333334,0.45281339677174887,0.8289166666666666
transformer_v2,1,6,0.5134283320705096,0.8116666666666666,0.4421335922082265,0.8340833333333333
transformer_v2,1,7,0.501709465165933,0.8162291666666667,0.41896813408533734,0.8404166666666667
transformer_v2,1,8,0.485417562743028,0.8190416666666667,0.4386347025235494,0.8358333333333333
transformer_v2,1,9,0.47260081096490225,0.8255,0.42569118348757423,0.8393333333333334
transformer_v2,1,10,0.4691828012863795,0.8279791666666667,0.40813098939259845,0.8466666666666667
transformer_v2,1,11,0.4589271194736163,0.8308125,0.3986880389849345,0.84875
transformer_v2,1,12,0.44919036263227463,0.8328958333333333,0.39586128131548565,0.851
transformer_v2,1,13,0.44725237395366035,0.8340416666666667,0.39175139768918354,0.85075
transformer_v2,1,14,0.4414332629044851,0.8369583333333334,0.37742162283261615,0.8536666666666667
transformer_v2,1,15,0.44047682257493337,0.8350208333333333,0.37792993179957074,0.8570833333333333
transformer_v2,1,16,0.4307664581139882,0.8409375,0.37513293385505675,0.8596666666666667
transformer_v2,1,17,0.4292148252924283,0.8392083333333333,0.3657757341066996,0.8585833333333334
transformer_v2,1,18,0.424878493309021,0.8423333333333334,0.36741524370511375,0.86325
transformer_v2,1,19,0.4218663268884023,0.8430416666666667,0.3792181158860525,0.8583333333333333
transformer_v2,1,20,0.41766378448406855,0.844625,0.36716315348943074,0.8623333333333333
transformer_v2,1,21,0.4138351864616076,0.846625,0.3613967635234197,0.86575
transformer_v2,1,22,0.41183058730761213,0.8475833333333334,0.3610558925072352,0.86525
transformer_v2,1,23,0.40785736131668093,0.84875,0.3628714164892832,0.8633333333333333
transformer_v2,1,24,0.4027418828209241,0.85025,0.35223196029663084,0.8675
transformer_v2,1,25,0.4036412126223246,0.8492083333333333,0.3646875608762105,0.866
transformer_v2,1,26,0.4016544384161631,0.8500625,0.36061214780807493,0.8651666666666666
transformer_v2,1,27,0.3994426908890406,0.8523333333333334,0.3608500167528788,0.8659166666666667
transformer_v2,1,28,0.3944765844742457,0.8537916666666666,0.3520013423760732,0.8691666666666666
transformer_v2,1,29,0.39474217252930005,0.8528958333333333,0.3471081964969635,0.8715
transformer_v2,1,30,0.39324072341124217,0.85475,0.35964205336570737,0.8666666666666667
transformer_v2,1,31,0.38844453157981235,0.8557916666666666,0.3518058890501658,0.8699166666666667
transformer_v2,1,32,0.3892095871369044,0.8556041666666667,0.3425223075946172,0.8723333333333333
transformer_v2,1,33,0.3897267764608065,0.8543958333333334,0.3464009506702423,0.8681666666666666
transformer_v2,1,34,0.38580739188194274,0.8564791666666667,0.34417888752619424,0.8719166666666667
transformer_v2,1,35,0.38520861595869066,0.8576041666666666,0.34945765566825865,0.8689166666666667
transformer_v2,1,36,0.3837089555263519,0.85675,0.33919729375839236,0.874
transformer_v2,1,37,0.37879078143835065,0.8593125,0.34890712396303813,0.8710833333333333
