model,fold,epoch,train_loss,train_accuracy,val_loss,val_accuracy
transformer_v1,5,1,0.7612405635515849,0.7207916666666667,0.4940147569179535,0.8201666666666667
transformer_v1,5,2,0.49211618822813036,0.819125,0.4349619393348694,0.8393333333333334
transformer_v1,5,3,0.43910963473717374,0.8399791666666667,0.42330794739723204,0.8445833333333334
transformer_v1,5,4,0.40979419980446496,0.8497708333333334,0.38433133546511333,0.8571666666666666
transformer_v1,5,5,0.3935041506091754,0.856,0.36941896120707196,0.8660833333333333
transformer_v1,5,6,0.3759381863276164,0.8628958333333333,0.35362612704435986,0.8704166666666666
transformer_v1,5,7,0.364229023595651,0.8663541666666666,0.3379439772764842,0.87775
transformer_v1,5,8,0.3526979495485624,0.871,0.3401855885187785,0.8791666666666667
transformer_v1,5,9,0.34541245170434315,0.8719583333333333,0.31914417243003845,0.88275
transformer_v1,5,10,0.3295897211631139,0.8764375,0.321692307472229,0.8811666666666667
transformer_v1,5,11,0.3271198067565759,0.8789375,0.31868444875876106,0.8844166666666666
transformer_v1,5,12,0.3177481158276399,0.8819375,0.33404526432355247,0.88275
transformer_v1,5,13,0.31479054485758146,0.8813958333333334,0.31949958328406014,0.8866666666666667
transformer_v1,5,14,0.30990740172068276,0.8839791666666666,0.32662086002031965,0.88175
transformer_v1,5,15,0.30647655243674915,0.8852708333333333,0.30597242911656697,0.8909166666666667
transformer_v1,5,16,0.3033265310873588,0.8880208333333334,0.3062539598941803,0.89025
transformer_v1,5,17,0.2993381705284119,0.8876875,0.31052766454219816,0.887
transformer_v1,5,18,0.29561943718791006,0.8901041666666667,0.3061091363430023,0.8901666666666667
transformer_v1,5,19,0.29408841974536576,0.8899791666666667,0.30764242152372995,0.8938333333333334
transformer_v1,5,20,0.28996383290489514,0.8926041666666666,0.3066916788419088,0.8906666666666667
transformer_v1,5,21,0.28615341426928836,0.8931041666666667,0.3062726949850718,0.8906666666666667
transformer_v1,5,22,0.28134896619121236,0.8949166666666667,0.30612329880396527,0.8936666666666667
transformer_v1,5,23,0.2816691552003225,0.8937916666666667,0.2967643715143204,0.8945833333333333
transformer_v1,5,24,0.27770132261514663,0.894625,0.29575415551662443,0.8933333333333333
transformer_v1,5,25,0.272598463182648,0.899,0.28667157018184664,0.8991666666666667
transformer_v1,5,26,0.27440019631385804,0.898125,0.2939510763088862,0.8955
transformer_v1,5,27,0.26462086604038876,0.9008125,0.29430693501234056,0.8971666666666667
transformer_v1,5,28,0.264003014643987,0.9009791666666667,0.3041722090045611,0.8939166666666667
transformer_v1,5,29,0.2639039533535639,0.9004791666666667,0.2870424745082855,0.8995833333333333
transformer_v1,5,30,0.26537990335126715,0.9004791666666667,0.29862693524360656,0.89475
transformer_v1,5,31,0.26116543548802534,0.9013958333333333,0.29263968284924824,0.89725
transformer_v1,5,32,0.2558256327013175,0.9035625,0.2832846880753835,0.9001666666666667
transformer_v1,5,33,0.2582613477607568,0.9036041666666667,0.29979207809766134,0.8975
transformer_v1,5,34,0.2546817993819714,0.9033333333333333,0.2897684648434321,0.8989166666666667
transformer_v1,5,35,0.25311816038688023,0.9057708333333333,0.29907539224624635,0.8961666666666667
transformer_v1,5,36,0.25571413652102154,0.9030625,0.2955701137582461,0.8983333333333333
transformer_v1,5,37,0.24954990150531134,0.90625,0.2974234338204066,0.8988333333333334
transformer_v1,5,38,0.24906457040210564,0.9055208333333333,0.2924808388153712,0.8980833333333333
transformer_v1,5,39,0.24751172305146854,0.9062291666666666,0.2915487901767095,0.8988333333333334
