model,fold,epoch,train_loss,train_accuracy,val_loss,val_accuracy
V1_Baseline,5,1,0.5568354144692421,0.79775,0.3562973435719808,0.8695
V1_Baseline,5,2,0.35809004624684654,0.8712708333333333,0.3017059433460236,0.8916666666666667
V1_Baseline,5,3,0.3064150907099247,0.8882083333333334,0.27846699523925783,0.89775
V1_Baseline,5,4,0.2749415047268073,0.8999375,0.2615571313301722,0.906
V1_Baseline,5,5,0.2524855961104234,0.9072708333333334,0.23961386068662008,0.913
V1_Baseline,5,6,0.23305678832530977,0.9151458333333333,0.24984405624866485,0.90925
V1_Baseline,5,7,0.2131359221090873,0.9231041666666666,0.23967906924088797,0.9109166666666667
V1_Baseline,5,8,0.19766774400075277,0.9272291666666667,0.23124496255318325,0.9175833333333333
V1_Baseline,5,9,0.18463385477662086,0.9314375,0.24467422475417455,0.9174166666666667
V1_Baseline,5,10,0.17108701853702465,0.9361041666666666,0.22469156422217687,0.922
V1_Baseline,5,11,0.15654716259986162,0.9412083333333333,0.2270121898849805,0.9219166666666667
V1_Baseline,5,12,0.14483975455909967,0.9451666666666667,0.25623724234104156,0.9138333333333334
V1_Baseline,5,13,0.13384785337249439,0.9491875,0.24258280206720034,0.9193333333333333
V1_Baseline,5,14,0.1245047179919978,0.9513958333333333,0.23869688797990482,0.9230833333333334
V1_Baseline,5,15,0.11542791391909123,0.9560625,0.25234606716036795,0.92125
V1_Baseline,5,16,0.10847780567407608,0.9594166666666667,0.24568912747502328,0.924
V1_Baseline,5,17,0.10004950639729698,0.9616875,0.25375403141975406,0.9225
V1_Baseline,5,18,0.09272582773988446,0.9641875,0.2695570274392764,0.9225833333333333
V1_Baseline,5,19,0.0870348178104808,0.9667916666666667,0.2803796707391739,0.92325
V1_Baseline,5,20,0.08474273214240868,0.9671458333333334,0.29920657724142075,0.9219166666666667
V1_Baseline,5,21,0.07792545466745893,0.9696875,0.29220911047856013,0.9235
V1_Baseline,5,22,0.07437548781403651,0.9717291666666666,0.3338717790444692,0.9180833333333334
V1_Baseline,5,23,0.06859414832604428,0.9733125,0.32769416839877763,0.9224166666666667
V1_Baseline,5,24,0.06587124000644932,0.9744583333333333,0.344748130907615,0.92
V1_Baseline,5,25,0.06494180764164775,0.9742708333333333,0.32976261420051256,0.9239166666666667
V1_Baseline,5,26,0.06105533875959615,0.9769583333333334,0.3408963836878538,0.92325
V1_Baseline,5,27,0.05961374373237292,0.9771666666666666,0.3553122027317683,0.9219166666666667
V1_Baseline,5,28,0.058574199984781444,0.9770625,0.3517401017397642,0.922
V1_Baseline,5,29,0.055024037200647094,0.9786875,0.35371496163805327,0.92275
V1_Baseline,5,30,0.053903141656036796,0.9789375,0.37839066982269287,0.9193333333333333
V1_Baseline,5,31,0.051671838241629305,0.97925,0.36894942992925644,0.9224166666666667
V1_Baseline,5,32,0.047095121798415976,0.9813333333333333,0.41116637488702934,0.9234166666666667
V1_Baseline,5,33,0.04759342200611718,0.9817708333333334,0.3903686147530874,0.9240833333333334
V1_Baseline,5,34,0.04628811928885989,0.9813958333333334,0.3925887265900771,0.922
V1_Baseline,5,35,0.04647578948355901,0.982,0.401318327948451,0.9211666666666667
V1_Baseline,5,36,0.0429226876537626,0.9835416666666666,0.39008100395898027,0.9264166666666667
V1_Baseline,5,37,0.04142829224599215,0.9834375,0.4427083929578463,0.9239166666666667
V1_Baseline,5,38,0.04075555974803865,0.9849583333333334,0.4596064750030637,0.9205
V1_Baseline,5,39,0.04402598880390481,0.9835416666666666,0.41818566324561834,0.92325
V1_Baseline,5,40,0.03989468285798405,0.9846458333333333,0.4467441053539515,0.9189166666666667
V1_Baseline,5,41,0.04111559315025806,0.9841875,0.46518751804033914,0.9234166666666667
V1_Baseline,5,42,0.03572746331997526,0.986625,0.46225662413239477,0.9231666666666667
V1_Baseline,5,43,0.03707559846539516,0.9856458333333333,0.4788683662911256,0.9216666666666666
V1_Baseline,5,44,0.035087640491624675,0.9864791666666667,0.4813284073670705,0.9189166666666667
V1_Baseline,5,45,0.036608190215406164,0.986,0.4678757819086313,0.9240833333333334
V1_Baseline,5,46,0.03668402425843912,0.9855833333333334,0.47945370483802013,0.9225
V1_Baseline,5,47,0.03328518184343314,0.987125,0.514360442241033,0.9225833333333333
V1_Baseline,5,48,0.03407631861953996,0.9868958333333333,0.5380016246835391,0.921
V1_Baseline,5,49,0.035314635138881084,0.9863541666666666,0.4853778981032471,0.9235
V1_Baseline,5,50,0.03653061712812632,0.9859791666666666,0.4883171186372638,0.9224166666666667
