model,fold,epoch,train_loss,train_accuracy,val_loss,val_accuracy
V1_Baseline,2,1,0.5440301303863525,0.799,0.3507337974707286,0.8744166666666666
V1_Baseline,2,2,0.3511717374821504,0.8739791666666666,0.3093095683256785,0.8885
V1_Baseline,2,3,0.3023480801681678,0.8903125,0.3019191338221232,0.8899166666666667
V1_Baseline,2,4,0.27075892000397045,0.9004375,0.2825823594331741,0.8976666666666666
V1_Baseline,2,5,0.24812033450603485,0.9080833333333334,0.24233210480213166,0.9130833333333334
V1_Baseline,2,6,0.22606142557660738,0.9159583333333333,0.2362473008433978,0.9166666666666666
V1_Baseline,2,7,0.20722830427686373,0.9240625,0.23526713661352794,0.9154166666666667
V1_Baseline,2,8,0.19200287489096324,0.9286875,0.2420421797633171,0.91475
V1_Baseline,2,9,0.17631837069491546,0.9332916666666666,0.23348358168204625,0.9194166666666667
V1_Baseline,2,10,0.16333902470767497,0.93925,0.237602465848128,0.9225
V1_Baseline,2,11,0.14897144304712615,0.9445833333333333,0.22775176644325257,0.9248333333333333
V1_Baseline,2,12,0.1391939505537351,0.9470208333333333,0.24171439119180044,0.9194166666666667
V1_Baseline,2,13,0.12963527126858632,0.9502916666666666,0.24445848109324772,0.9224166666666667
V1_Baseline,2,14,0.11777762637784084,0.9566875,0.24537848393122355,0.9248333333333333
V1_Baseline,2,15,0.11168773634980123,0.9580208333333333,0.24702024739980696,0.9220833333333334
V1_Baseline,2,16,0.10092311749731502,0.9625416666666666,0.25050434694687523,0.92425
V1_Baseline,2,17,0.09657082016021014,0.9627708333333334,0.2671206676264604,0.9240833333333334
V1_Baseline,2,18,0.08703581762438019,0.9664375,0.28131383389234543,0.923
V1_Baseline,2,19,0.08141673781226079,0.9683333333333334,0.29210003538926443,0.9230833333333334
V1_Baseline,2,20,0.07976626701218387,0.9688333333333333,0.285630943775177,0.92325
V1_Baseline,2,21,0.07115848943094412,0.9725416666666666,0.3146640421350797,0.9251666666666667
V1_Baseline,2,22,0.07067379863342892,0.9725416666666666,0.28847845347722373,0.9211666666666667
V1_Baseline,2,23,0.0634046967625618,0.9754791666666667,0.3191720641950766,0.9256666666666666
V1_Baseline,2,24,0.06328968722994129,0.9754583333333333,0.3378498858412107,0.92575
V1_Baseline,2,25,0.05942040204070508,0.97775,0.3288781122962634,0.926
V1_Baseline,2,26,0.056776439572994906,0.9786666666666667,0.36164026453097664,0.92375
V1_Baseline,2,27,0.05268556396507969,0.9800625,0.36881235071023305,0.923
V1_Baseline,2,28,0.05117584890173748,0.9805833333333334,0.36840733166535694,0.92375
V1_Baseline,2,29,0.04972030443147135,0.9805,0.36327364983657995,0.9199166666666667
V1_Baseline,2,30,0.04653956040375245,0.9818125,0.36356808652480443,0.9265
V1_Baseline,2,31,0.044518746204907075,0.9832708333333333,0.39439557133118314,0.9220833333333334
V1_Baseline,2,32,0.04511409943255906,0.9827708333333334,0.39291734831531844,0.9235
V1_Baseline,2,33,0.04353572874500727,0.9834583333333333,0.39860217227538425,0.924
V1_Baseline,2,34,0.0424978897771022,0.9839166666666667,0.4245983382066091,0.9184166666666667
V1_Baseline,2,35,0.04129428893715764,0.9842291666666667,0.41746816645065943,0.9233333333333333
V1_Baseline,2,36,0.039431394070386885,0.9849375,0.45399931944410005,0.9195833333333333
V1_Baseline,2,37,0.03902615643540048,0.9853125,0.4036295065780481,0.9225
V1_Baseline,2,38,0.03703326249239035,0.9859791666666666,0.4197612565855185,0.92175
V1_Baseline,2,39,0.0381081602666527,0.9853541666666666,0.45844850395123166,0.92325
V1_Baseline,2,40,0.036991261204898665,0.9859791666666666,0.5342197356621424,0.92175
V1_Baseline,2,41,0.036320637403133633,0.9857916666666666,0.48569836421807605,0.921
V1_Baseline,2,42,0.033344299706902045,0.9876041666666666,0.47715859512488046,0.92325
V1_Baseline,2,43,0.036754008701109946,0.9860625,0.48438629431525865,0.9239166666666667
V1_Baseline,2,44,0.03430856372426691,0.9868958333333333,0.45091034890214604,0.924
V1_Baseline,2,45,0.031061447186395526,0.9883958333333334,0.4682703491548697,0.9230833333333334
V1_Baseline,2,46,0.03241354815204007,0.9884166666666667,0.4990912014742692,0.92125
V1_Baseline,2,47,0.03107803191667578,0.9879583333333334,0.4716505755633116,0.92525
V1_Baseline,2,48,0.030704101121751592,0.9885625,0.49936785744130613,0.9221666666666667
V1_Baseline,2,49,0.03423365712456871,0.9871041666666667,0.4855330971032381,0.92425
V1_Baseline,2,50,0.03081761499020892,0.9884791666666667,0.5303339441418647,0.9248333333333333
