model,fold,epoch,train_loss,train_accuracy,val_loss,val_accuracy
V2_BatchNorm,5,1,0.47162718017896016,0.8296458333333333,0.315338299036026,0.8863333333333333
V2_BatchNorm,5,2,0.32486691267291706,0.8825625,0.280493338227272,0.8985
V2_BatchNorm,5,3,0.28227986479798955,0.896,0.259492262005806,0.91025
V2_BatchNorm,5,4,0.25494022089242935,0.9071666666666667,0.2701288201014201,0.9005
V2_BatchNorm,5,5,0.22874534350385267,0.9156041666666667,0.22915307807922364,0.9183333333333333
V2_BatchNorm,5,6,0.21371025513112546,0.92075,0.23251773605744044,0.9175
V2_BatchNorm,5,7,0.1967820904602607,0.927375,0.2269311431646347,0.9196666666666666
V2_BatchNorm,5,8,0.18262641244133312,0.9312708333333334,0.24642480883995693,0.9125833333333333
V2_BatchNorm,5,9,0.1707734789599975,0.9360833333333334,0.24162563260396322,0.9158333333333334
V2_BatchNorm,5,10,0.1586999222834905,0.9393541666666667,0.233257177233696,0.9221666666666667
V2_BatchNorm,5,11,0.145334872747461,0.9445625,0.24343179882566135,0.9213333333333333
V2_BatchNorm,5,12,0.13763379234820605,0.947875,0.2523963687022527,0.9194166666666667
V2_BatchNorm,5,13,0.1253554420247674,0.9530625,0.24231496534744898,0.9254166666666667
V2_BatchNorm,5,14,0.1186137465549012,0.9547291666666666,0.24853307802478472,0.9180833333333334
V2_BatchNorm,5,15,0.10988623672475417,0.9580833333333333,0.2545677552471558,0.9275
V2_BatchNorm,5,16,0.10174046631654103,0.960375,0.28066504020492233,0.91975
V2_BatchNorm,5,17,0.09606785885368785,0.9628333333333333,0.2671219337085883,0.9254166666666667
V2_BatchNorm,5,18,0.09026986447970073,0.9658125,0.27854101449251173,0.92625
V2_BatchNorm,5,19,0.08452924966874222,0.9665416666666666,0.27239951632420223,0.9245
V2_BatchNorm,5,20,0.0797117975546668,0.9687291666666666,0.28585233850280445,0.925
V2_BatchNorm,5,21,0.07931333781095842,0.9689791666666666,0.2931132236123085,0.9219166666666667
V2_BatchNorm,5,22,0.07327459891388814,0.971,0.2888709214727084,0.9258333333333333
V2_BatchNorm,5,23,0.069681718484809,0.9731458333333334,0.3236009376893441,0.923
V2_BatchNorm,5,24,0.06799117030855269,0.9742083333333333,0.32413028677304584,0.9253333333333333
V2_BatchNorm,5,25,0.06268475669700031,0.9754166666666667,0.3348446369667848,0.92475
V2_BatchNorm,5,26,0.06073834806183974,0.9762291666666667,0.3668187700311343,0.9248333333333333
V2_BatchNorm,5,27,0.05892369061956803,0.976125,0.3591090908808013,0.9235833333333333
V2_BatchNorm,5,28,0.056864525503478945,0.9781666666666666,0.3404245009521643,0.9228333333333333
V2_BatchNorm,5,29,0.05374005403540408,0.97875,0.35675191833575565,0.9245833333333333
V2_BatchNorm,5,30,0.05247857334682097,0.9796875,0.3518902917702993,0.9235833333333333
V2_BatchNorm,5,31,0.051720306570331255,0.9798333333333333,0.3600699417491754,0.9188333333333333
V2_BatchNorm,5,32,0.04849667957471684,0.9809791666666666,0.3874892332901557,0.9255
V2_BatchNorm,5,33,0.04642536283020551,0.9813333333333333,0.38373810618122417,0.9246666666666666
V2_BatchNorm,5,34,0.04975853689019277,0.9810208333333333,0.38503255110482376,0.9250833333333334
V2_BatchNorm,5,35,0.04614578904180477,0.9823333333333333,0.38928153112530706,0.92625
V2_BatchNorm,5,36,0.04621822155561919,0.9821041666666667,0.4251554761330287,0.92325
V2_BatchNorm,5,37,0.04221641229725598,0.9839791666666666,0.44219593311846256,0.924
V2_BatchNorm,5,38,0.042536375167779625,0.9833333333333333,0.41653741644819575,0.9233333333333333
V2_BatchNorm,5,39,0.04496073937742039,0.9831041666666667,0.4361302225589752,0.9240833333333334
V2_BatchNorm,5,40,0.04213552033660623,0.9837291666666667,0.40792824037373066,0.9248333333333333
V2_BatchNorm,5,41,0.0375366106085324,0.9852083333333334,0.43213810916493334,0.925
V2_BatchNorm,5,42,0.037845910073490814,0.9854166666666667,0.495617939243714,0.9188333333333333
V2_BatchNorm,5,43,0.0385499586778072,0.9855833333333334,0.44020934779942034,0.92375
V2_BatchNorm,5,44,0.03854142611303056,0.9854791666666667,0.45680570052812497,0.9225
V2_BatchNorm,5,45,0.036604746134136806,0.9862291666666667,0.44448139939457176,0.9241666666666667
V2_BatchNorm,5,46,0.035176500007432575,0.9876458333333333,0.431415040080746,0.9261666666666667
V2_BatchNorm,5,47,0.03485461794552005,0.9866041666666666,0.4514192295273145,0.9238333333333333
V2_BatchNorm,5,48,0.03664381726714783,0.9864791666666667,0.4641105355620384,0.9164166666666667
V2_BatchNorm,5,49,0.03419207760338516,0.9868125,0.4910890715718269,0.9225833333333333
V2_BatchNorm,5,50,0.03129396172583802,0.9878125,0.4546373791694641,0.92575
